date,diesel,e10,e5,weekday,is_holiday
2026-04-15 06:23:57,2.219,2.049,2.109,2,0
2026-04-15 08:49:41,2.219,2.039,2.099,2,0
2026-04-15 09:16:09,2.209,2.039,2.099,2,0
2026-04-15 09:23:16,2.209,2.029,2.089,2,0
2026-04-15 09:51:51,2.199,2.029,2.089,2,0
2026-04-15 09:59:01,2.199,2.019,2.079,2,0
2026-04-15 10:22:31,2.189,2.019,2.079,2,0
2026-04-15 10:31:43,2.189,2.009,2.069,2,0
2026-04-15 10:58:16,2.179,2.009,2.069,2,0
2026-04-15 11:29:53,2.169,2.009,2.069,2,0
2026-04-15 12:04:33,2.289,2.139,2.199,2,0
2026-04-15 13:06:53,2.239,2.129,2.189,2,0
2026-04-15 13:54:55,2.239,2.119,2.179,2,0
2026-04-15 14:23:36,2.239,2.109,2.169,2,0
2026-04-15 14:40:53,2.229,2.109,2.169,2,0
2026-04-15 14:51:07,2.219,2.079,2.139,2,0
2026-04-15 15:20:40,2.219,2.069,2.129,2,0
2026-04-15 15:45:09,2.209,2.069,2.129,2,0
2026-04-15 16:04:29,2.199,2.069,2.129,2,0
2026-04-15 16:09:36,2.179,2.039,2.099,2,0
2026-04-15 16:31:05,2.169,2.029,2.089,2,0
2026-04-15 17:03:42,2.159,2.019,2.079,2,0
2026-04-15 17:31:14,2.149,2.019,2.079,2,0
2026-04-16 09:06:46,2.139,2.009,2.069,3,0
2026-04-16 09:35:26,2.129,2.009,2.069,3,0
2026-04-16 09:39:29,2.129,1.999,2.059,3,0
2026-04-16 10:05:54,2.119,1.999,2.059,3,0
2026-04-16 12:05:26,2.279,2.129,2.189,3,0
2026-04-16 12:58:36,2.259,2.109,2.169,3,0
2026-04-16 13:08:47,2.259,2.099,2.159,3,0
2026-04-16 14:12:59,2.249,2.089,2.149,3,0
2026-04-16 14:48:44,2.239,2.079,2.139,3,0
2026-04-16 15:19:20,2.229,2.079,2.139,3,0
2026-04-16 15:48:53,2.219,2.079,2.139,3,0
2026-04-16 16:00:05,2.219,2.079,2.129,3,0
2026-04-16 16:01:08,2.219,2.069,2.129,3,0
2026-04-16 16:07:15,2.219,2.039,2.099,3,0
2026-04-16 16:12:21,2.209,2.039,2.099,3,0
2026-04-16 16:17:25,2.159,2.039,2.099,3,0
2026-04-16 16:34:45,2.149,2.039,2.099,3,0
2026-04-16 16:54:05,2.129,2.039,2.079,3,0
2026-04-16 16:55:06,2.129,2.019,2.079,3,0
2026-04-17 08:59:42,2.119,2.009,2.069,4,0
2026-04-17 09:31:16,2.109,1.999,2.059,4,0
2026-04-17 10:19:04,2.099,1.999,2.059,4,0
2026-04-17 12:05:07,2.279,2.139,2.199,4,0
2026-04-17 13:08:27,2.239,2.129,2.189,4,0
2026-04-17 13:15:36,2.209,2.129,2.189,4,0
2026-04-17 13:55:20,2.199,2.049,2.109,4,0
2026-04-17 14:24:55,2.169,2.049,2.109,4,0
2026-04-17 14:27:58,2.169,2.009,2.069,4,0
2026-04-17 16:07:42,2.159,2.009,2.069,4,0
2026-04-17 16:29:05,2.149,2.009,2.069,4,0
2026-04-17 17:03:45,2.139,2.009,2.069,4,0
2026-04-17 17:29:12,2.129,2.009,2.069,4,0
2026-04-17 17:57:39,2.119,2.009,2.069,4,0
2026-04-18 07:44:47,2.109,2.009,2.069,5,0
2026-04-18 08:30:29,2.099,1.999,2.059,5,0
2026-04-18 09:17:12,2.089,1.989,2.049,5,0
2026-04-18 09:54:49,2.079,1.979,2.039,5,0
2026-04-18 10:24:19,2.069,1.979,2.039,5,0
2026-04-18 12:04:51,2.249,2.129,2.189,5,0
2026-04-18 12:55:38,2.209,2.099,2.159,5,0
2026-04-18 12:58:40,2.199,2.099,2.159,5,0
2026-04-18 13:06:46,2.189,2.089,2.149,5,0
2026-04-18 13:18:55,2.159,2.089,2.149,5,0
2026-04-18 14:15:19,2.149,2.079,2.139,5,0
2026-04-18 14:44:13,2.139,2.069,2.129,5,0
2026-04-18 15:15:53,2.129,2.059,2.119,5,0
2026-04-18 15:25:00,2.129,2.039,2.099,5,0
2026-04-18 15:45:21,2.129,2.029,2.089,5,0
2026-04-18 15:49:24,2.119,2.029,2.089,5,0
2026-04-18 16:12:45,2.119,2.019,2.079,5,0
2026-04-18 16:20:52,2.109,2.019,2.079,5,0
2026-04-18 16:45:17,2.109,2.009,2.069,5,0
2026-04-18 17:17:42,2.109,1.999,2.059,5,0
2026-04-18 17:49:14,2.109,1.989,2.049,5,0
2026-04-18 17:58:22,2.099,1.989,2.049,5,0
2026-04-18 18:22:43,2.089,1.979,2.039,5,0
2026-04-19 07:40:43,2.089,1.969,2.029,6,0
2026-04-19 07:42:46,2.059,1.969,2.029,6,0
2026-04-19 08:42:43,2.059,1.959,2.019,6,0
2026-04-19 08:45:46,2.049,1.959,2.019,6,0
2026-04-19 12:05:54,2.249,2.129,2.189,6,0
2026-04-19 12:55:38,2.159,2.099,2.159,6,0
2026-04-19 13:08:49,2.159,2.089,2.149,6,0
2026-04-19 14:13:50,2.149,2.079,2.139,6,0
2026-04-19 14:43:18,2.149,2.079,2.129,6,0
2026-04-19 14:55:29,2.139,2.059,2.119,6,0
2026-04-19 15:12:43,2.139,2.049,2.109,6,0
2026-04-19 15:16:46,2.129,2.019,2.079,6,0
2026-04-19 15:22:52,2.119,2.019,2.079,6,0
2026-04-19 15:39:13,2.119,2.009,2.069,6,0
2026-04-19 16:07:42,2.109,1.999,2.059,6,0
2026-04-19 16:40:15,2.099,1.989,2.049,6,0
2026-04-19 17:06:42,2.099,1.979,2.039,6,0
2026-04-19 17:39:13,2.099,1.969,2.039,6,0
2026-04-19 17:42:16,2.099,1.969,2.029,6,0
2026-04-19 17:51:25,2.089,1.969,2.029,6,0
2026-04-19 18:34:08,2.079,1.969,2.029,6,0
2026-04-19 19:09:42,2.069,1.969,2.029,6,0
2026-04-20 07:16:38,2.039,1.969,2.029,0,0
2026-04-20 07:42:05,2.039,1.959,2.019,0,0
2026-04-20 12:05:53,2.219,2.109,2.169,0,0
2026-04-20 12:54:45,2.179,2.099,2.159,0,0
2026-04-20 13:04:56,2.169,2.089,2.149,0,0
2026-04-20 13:16:11,2.159,2.049,2.109,0,0
2026-04-20 14:15:59,2.149,2.039,2.099,0,0
2026-04-20 14:45:28,2.139,2.029,2.089,0,0
2026-04-20 15:14:56,2.129,2.019,2.079,0,0
2026-04-20 15:44:30,2.119,2.019,2.079,0,0
2026-04-20 16:17:05,2.109,2.019,2.079,0,0
2026-04-20 16:44:36,2.109,2.009,2.069,0,0
2026-04-20 16:48:41,2.099,2.009,2.069,0,0
2026-04-20 17:06:59,2.079,1.999,2.059,0,0
2026-04-20 17:31:29,2.069,1.989,2.049,0,0
2026-04-20 18:00:56,2.059,1.979,2.039,0,0
2026-04-20 18:29:23,2.049,1.979,2.039,0,0
2026-04-20 18:59:49,2.039,1.979,2.039,0,0
2026-04-21 06:52:59,2.039,1.979,2.029,1,0
2026-04-21 07:10:16,2.029,1.979,2.029,1,0
2026-04-21 12:05:24,2.209,2.119,2.169,1,0
2026-04-21 12:52:10,2.179,2.099,2.159,1,0
2026-04-21 13:05:24,2.169,2.089,2.149,1,0
