year,month,day,hour,minute,weekday,holiday,e10,e5,diesel
2026,1,17,17,31,5,0,1.669,1.709,1.619
2026,1,17,17,47,5,0,1.699,1.739,1.649
2026,1,17,18,17,5,0,1.679,1.739,1.639
2026,1,17,18,47,5,0,1.669,1.719,1.619
2026,1,17,19,8,5,0,1.659,1.709,1.619
2026,1,17,19,25,5,0,1.659,1.709,1.619
2026,1,17,19,34,5,0,1.659,1.709,1.619
2026,1,17,19,47,5,0,1.689,1.739,1.649
2026,1,17,20,13,5,0,1.689,1.739,1.629
2026,1,17,20,34,5,0,1.679,1.719,1.619
2026,1,17,20,50,5,0,1.679,1.719,1.619
2026,1,17,21,10,5,0,1.659,1.709,1.619
2026,1,17,21,28,5,0,1.659,1.709,1.619
2026,1,17,21,39,5,0,1.659,1.709,1.619
2026,1,17,21,46,5,0,1.659,1.709,1.619
2026,1,17,22,11,5,0,,,
2026,1,17,22,34,5,0,,,
2026,1,17,22,50,5,0,,,
2026,1,18,5,16,6,0,,,
2026,1,18,5,44,6,0,,,
2026,1,18,5,53,6,0,,,
2026,1,18,6,18,6,0,1.819,1.879,1.809
2026,1,18,6,51,6,0,1.799,1.839,1.799
2026,1,18,7,13,6,0,1.779,1.839,1.799
2026,1,18,7,32,6,0,1.689,1.729,1.639
2026,1,18,7,47,6,0,1.679,1.729,1.639
2026,1,18,8,16,6,0,1.679,1.719,1.629
2026,1,18,8,45,6,0,1.729,1.769,1.679
2026,1,18,9,13,6,0,1.699,1.759,1.649
2026,1,18,9,33,6,0,1.679,1.739,1.629
2026,1,18,9,49,6,0,1.679,1.719,1.619
2026,1,18,10,13,6,0,1.679,1.719,1.619
2026,1,18,10,36,6,0,1.669,1.709,1.619
2026,1,18,10,51,6,0,1.669,1.709,1.619
2026,1,18,11,10,6,0,1.659,1.709,1.619
2026,1,18,11,26,6,0,1.659,1.709,1.619
2026,1,18,11,36,6,0,1.719,1.769,1.679
2026,1,18,11,47,6,0,1.719,1.769,1.679
